	Playing Time	Performance	Per 90 Minutes	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
471	Dario Šarić	ba BIH	MF	Antalyaspor	28-347	1997	24	16	1,396	15.5	1	1	2	1	0	0	2	0	0.06	0.06	0.13	0.06	0.13	Matches
472	Ľubomír Šatka	sk SVK	DF	Samsunspor	30-161	1995	26	25	2,115	23.5	0	1	1	0	0	0	1	0	0.00	0.04	0.04	0.00	0.04	Matches
473	Stefan Savić	me MNE	DF	Trabzonspor	35-124	1991	22	20	1,756	19.5	1	1	2	1	0	0	3	0	0.05	0.05	0.10	0.05	0.10	Matches
474	Gökhan Sazdağı	tr TUR	DF	Beşiktaş	31-234	1994	17	14	1,305	14.5	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
475	Gökhan Sazdağı	tr TUR	DF	Kayserispor	31-234	1994	3	3	270	3.0	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
476	Davie Selke	de GER	FW	Başakşehir	31-112	1995	23	14	1,173	13.0	9	0	9	7	2	2	5	1	0.69	0.00	0.69	0.54	0.54	Matches
477	Nélson Semedo	pt POR	DF	Fenerbahçe	32-177	1993	25	25	1,905	21.2	1	2	3	1	0	0	7	0	0.05	0.09	0.14	0.05	0.14	Matches
478	Ahmet Şen	tr TUR	GK	Galatasaray	27-098	1999	1	0	25	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
479	Muhammed Şengezer	tr TUR	GK	Başakşehir	29-127	1997	32	32	2,880	32.0	0	1	1	0	0	0	0	0	0.00	0.03	0.03	0.00	0.03	Matches
480	Tarkan Serbest	tr TUR	MF	Kocaelispor	32-010	1994	6	2	239	2.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
