	Playing Time	Performance	Per 90 Minutes	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
154	Mete-Kaan Demir	tr TUR	FW	Eyüpspor	27-364	1998	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
155	Yusuf Demir	at AUT	MF	Galatasaray	22-344	2003	1	0	29	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
156	Adil Demirbağ	tr TUR	DF	Konyaspor	28-153	1997	24	24	2,085	23.2	2	2	4	2	0	0	10	0	0.09	0.09	0.17	0.09	0.17	Matches
157	Kerem Demirbay	de GER	MF	Kasımpaşa	32-313	1993	10	8	672	7.5	1	0	1	1	0	0	5	2	0.13	0.00	0.13	0.13	0.13	Matches
158	Kerem Demirbay	de GER	MF	Eyüpspor	32-313	1993	16	16	1,410	15.7	0	0	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
159	Ali Demirbilek	tr TUR	FW	Antalyaspor	17-127	2009	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
160	Alper Demirol	se SWE	MF	Fatih Karagümrük	23-223	2002	3	1	72	0.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
161	Anthony Dennis	ng NGA	MF	Göztepe	21-325	2004	30	28	2,389	26.5	3	0	3	3	0	0	8	0	0.11	0.00	0.11	0.11	0.11	Matches
162	Stefano Denswil	sr SUR	DF	Kayserispor	33-005	1993	31	31	2,721	30.2	1	0	1	1	0	0	3	0	0.03	0.00	0.03	0.03	0.03	Matches
163	Halil Dervişoğlu	tr TUR	FW	Rizespor	26-155	1999	20	7	855	9.5	1	0	1	1	0	0	4	0	0.11	0.00	0.11	0.11	0.11	Matches
164	Ersin Destanoğlu	tr TUR	GK	Beşiktaş	25-131	2001	24	24	2,160	24.0	0	0	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
165	Ali Diabaté	ci CIV	DF	Samsunspor	19-158	2006	5	2	151	1.7	0	1	1	0	0	0	1	0	0.00	0.60	0.60	0.00	0.60	Matches
166	Fousseni Diabaté	ml MLI	MF	Kasımpaşa	30-206	1995	26	20	1,891	21.0	1	3	4	1	0	0	1	0	0.05	0.14	0.19	0.05	0.19	Matches
167	Ousmane Dıabate	gn GUI	MF	Gençlerbirliği	18-230	2007	3	2	182	2.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
168	Anfernee Dijksteel	sr SUR	DF	Kocaelispor	29-197	1996	31	27	2,599	28.9	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
169	Soner Dikmen	tr TUR	MF	Antalyaspor	32-253	1993	27	24	2,058	22.9	4	0	4	4	0	0	8	0	0.17	0.00	0.17	0.17	0.17	Matches
170	Deniz Dilmen	tr TUR	GK	Başakşehir	20-341	2005	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
171	Landry Dimata	be BEL	MF,FW	Samsunspor	28-253	1997	2	2	130	1.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
172	Sokratis Dioudis	gr GRE	GK	Gaziantep FK	33-098	1993	1	0	24	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
173	Novatus Dismas	tz TAN	MF	Göztepe	23-252	2002	31	23	2,166	24.1	2	2	4	1	1	1	10	0	0.08	0.08	0.17	0.04	0.12	Matches
174	Tiago Djaló	pt POR	DF	Beşiktaş	26-033	2000	18	16	1,464	16.3	2	0	2	2	0	0	4	0	0.12	0.00	0.12	0.12	0.12	Matches
175	Alexander Djiku	gh GHA	DF,MF	Fenerbahçe	31-276	1994	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
176	Ahmet Doğan Yıldırım		GK	Trabzonspor	19-192	2006	1	0	84	0.9	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
177	Marius Doh	ci CIV	MF	Fatih Karagümrük	22-146	2003	17	12	1,013	11.3	0	0	0	0	0	0	2	1	0.00	0.00	0.00	0.00	0.00	Matches
178	Deniz Donmezer		GK	Kayserispor	17-233	2008	1	1	90	1.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
179	Nene Dorgeles	ml MLI	MF	Fenerbahçe	23-140	2002	25	16	1,464	16.3	9	3	12	9	0	0	3	0	0.55	0.18	0.74	0.55	0.74	Matches
180	Denis Drăguș	ro ROU	FW	Gaziantep FK	26-310	1999	11	3	330	3.7	0	1	1	0	0	0	0	0	0.00	0.27	0.27	0.00	0.27	Matches
181	Denis Drăguș	ro ROU	MF,FW	Eyüpspor	26-310	1999	12	10	873	9.7	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
182	Rick van Drongelen	nl NED	DF	Samsunspor	27-143	1998	31	30	2,733	30.4	2	1	3	2	0	0	5	0	0.07	0.03	0.10	0.07	0.10	Matches
183	Léo Duarte	br BRA	DF	Başakşehir	29-299	1996	26	26	2,303	25.6	0	1	1	0	0	0	5	0	0.00	0.04	0.04	0.00	0.04	Matches
184	Tibet Durakçay		FW	Göztepe	20-100	2006	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
185	Jáder Durán	co COL	FW	Fenerbahçe	22-150	2003	10	6	542	6.0	3	2	5	3	0	0	2	0	0.50	0.33	0.83	0.50	0.83	Matches
186	Abdurrahim Dursun	tr TUR	DF,MF	Gençlerbirliği	27-162	1998	16	7	657	7.3	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
187	Serdar Dursun	tr TUR	FW	Kocaelispor	34-205	1991	27	16	1,504	16.7	6	2	8	4	2	2	3	0	0.36	0.12	0.48	0.24	0.36	Matches
188	Georgi Dzhikiya	ru RUS	DF	Antalyaspor	32-172	1993	15	13	1,154	12.8	2	0	2	2	0	0	3	0	0.16	0.00	0.16	0.16	0.16	Matches
189	Festy Ebosele	ie IRL	DF	Başakşehir	23-283	2002	14	9	688	7.6	0	0	0	0	0	0	4	2	0.00	0.00	0.00	0.00	0.00	Matches
190	Ederson	br BRA	GK	Fenerbahçe	32-268	1993	24	24	2,131	23.7	0	0	0	0	0	0	8	1	0.00	0.00	0.00	0.00	0.00	Matches
191	Yiğit Efe Demir	tr TUR	DF	Fenerbahçe	21-283	2004	13	5	633	7.0	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
192	Demir Ege Tıknaz	tr TUR	MF	Beşiktaş	21-268	2004	10	2	316	3.5	0	1	1	0	0	0	2	0	0.00	0.28	0.28	0.00	0.28	Matches
193	Meschak Elia	cd COD	MF,FW	Alanyaspor	28-279	1997	21	7	729	8.1	2	0	2	2	0	0	1	0	0.25	0.00	0.25	0.25	0.25	Matches
194	Eren Elmalı	tr TUR	DF,MF	Galatasaray	25-309	2000	24	15	1,436	16.0	3	0	3	3	0	0	3	0	0.19	0.00	0.19	0.19	0.19	Matches
195	Bartuğ Elmaz	tr TUR	MF	Fenerbahçe	23-082	2003	5	0	100	1.1	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
196	Bartuğ Elmaz	tr TUR	MF	Fatih Karagümrük	23-082	2003	15	10	954	10.6	1	0	1	1	0	0	1	0	0.09	0.00	0.09	0.09	0.09	Matches
197	Emersonn	br BRA	FW	Göztepe	21-300	2004	3	1	125	1.4	1	0	1	1	0	0	0	0	0.72	0.00	0.72	0.72	0.72	Matches
198	Yunus Emre Çift	tr TUR	MF,DF	Samsunspor	22-253	2003	21	9	730	8.1	0	0	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
199	Youssef En-Nesyri	ma MAR	FW	Fenerbahçe	28-345	1997	16	11	1,006	11.2	7	0	7	7	0	0	1	0	0.63	0.00	0.63	0.63	0.63	Matches
200	Mehmet Eray Özbek		MF	Kayserispor	23-123	2003	8	0	134	1.5	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
201	Erhan Erentürk	tr TUR	GK	Gençlerbirliği	30-347	1995	7	7	630	7.0	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
202	Onur Ergün	tr TUR	MF	Başakşehir	33-178	1992	18	3	341	3.8	0	1	1	0	0	0	1	0	0.00	0.26	0.26	0.00	0.26	Matches
203	Muzaffer Eriş		DF	Konyaspor	19-297	2006	3	2	152	1.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
204	Burhan Ersoy		MF	Fatih Karagümrük	22-333	2003	1	0	4	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
205	Deniz Ertaş	tr TUR	GK	Konyaspor	21-053	2005	11	11	990	11.0	0	1	1	0	0	0	2	0	0.00	0.09	0.09	0.00	0.09	Matches
206	Ricardo Esgaio	pt POR	DF	Fatih Karagümrük	32-361	1993	25	23	2,089	23.2	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
207	Mustafa Eskihellaç	tr TUR	DF,MF	Trabzonspor	29-007	1997	29	27	2,315	25.7	0	4	4	0	0	0	7	1	0.00	0.16	0.16	0.00	0.16	Matches
208	Jhon Espinoza	ec ECU	DF,MF	Kasımpaşa	27-077	1999	10	6	558	6.2	0	0	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
209	Oghenekaro Etebo	ng NGA	MF	Gençlerbirliği	30-184	1995	1	1	41	0.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
210	Mamadou Fall	sn SEN	MF,FW	Kasımpaşa	34-132	1991	20	14	1,165	12.9	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
211	Andri Fannar Baldursson	is ISL	MF	Kasımpaşa	24-122	2002	30	30	2,623	29.1	0	1	1	0	0	0	8	0	0.00	0.03	0.03	0.00	0.03	Matches
212	Ömer Faruk Beyaz	tr TUR	MF	Başakşehir	22-256	2003	3	0	28	0.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
213	Abbosbek Fayzullayev	uz UZB	MF	Başakşehir	22-221	2003	19	13	1,023	11.4	3	2	5	3	0	0	4	0	0.26	0.18	0.44	0.26	0.44	Matches
214	Marcos Felipe	br BRA	GK	Eyüpspor	30-029	1996	19	19	1,710	19.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
215	Ohis Felix Uduokhai	de GER	DF	Beşiktaş	28-245	1997	15	12	1,126	12.5	0	0	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
216	Yahia Fofana	ci CIV	GK	Rizespor	25-264	2000	26	26	2,340	26.0	0	1	1	0	0	0	2	0	0.00	0.04	0.04	0.00	0.04	Matches
217	Fred	br BRA	MF	Fenerbahçe	33-068	1993	29	14	1,388	15.4	2	4	6	2	0	0	3	0	0.13	0.26	0.39	0.13	0.39	Matches
218	Godfried Frimpong	nl NED	DF	Kasımpaşa	27-021	1999	27	25	2,194	24.4	0	1	1	0	0	0	1	0	0.00	0.04	0.04	0.00	0.04	Matches
219	Karamba Gassama	gm GAM	MF,FW	Gaziantep FK	21-130	2005	15	5	560	6.2	0	1	1	0	0	0	0	0	0.00	0.16	0.16	0.00	0.16	Matches
220	Furkan Gedik		MF	Kocaelispor	23-304	2002	6	0	39	0.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
221	Baran Gezek	tr TUR	MF	Eyüpspor	20-259	2005	16	14	1,295	14.4	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
222	Lautaro Gianetti	ar ARG	DF	Antalyaspor	32-180	1993	28	19	1,710	19.0	1	1	2	1	0	0	6	0	0.05	0.05	0.11	0.05	0.11	Matches
223	Andreas Gianniotis	gr GRE	GK	Kasımpaşa	33-151	1992	33	33	2,970	33.0	1	0	1	1	0	0	4	0	0.03	0.00	0.03	0.03	0.03	Matches
224	Victor Gidado	ng NGA	MF	Gaziantep FK	21-302	2004	10	4	443	4.9	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
225	Allan Godói	br BRA	DF	Göztepe	33-038	1993	27	20	1,858	20.6	0	2	2	0	0	0	2	0	0.00	0.10	0.10	0.00	0.10	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
226	Diogo Gonçalves	pt POR	MF,FW	Konyaspor	29-095	1997	7	2	224	2.5	2	0	2	2	0	0	1	0	0.80	0.00	0.80	0.80	0.80	Matches
227	Soner Gönül	tr TUR	DF,MF	Samsunspor	28-335	1997	16	7	745	8.3	0	0	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
228	Zafer Görgen		GK	Gaziantep FK	25-325	2000	20	20	1,800	20.0	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
229	Dimitris Goutas	gr GRE	DF	Gençlerbirliği	32-038	1994	32	32	2,815	31.3	3	0	3	3	0	0	5	0	0.10	0.00	0.10	0.10	0.10	Matches
230	Andre Gray	jm JAM	FW	Fatih Karagümrük	34-320	1991	12	6	525	5.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
231	Ivo Grbić	hr CRO	GK	Fatih Karagümrük	30-114	1996	32	32	2,880	32.0	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
232	Mattéo Guendouzi	fr FRA	MF	Fenerbahçe	27-028	1999	15	15	1,317	14.6	1	1	2	1	0	0	4	0	0.07	0.07	0.14	0.07	0.14	Matches
233	Bachir Gueye	sn SEN	FW	Antalyaspor	23-065	2003	2	1	90	1.0	2	0	2	2	0	0	1	0	2.00	0.00	2.00	2.00	2.00	Matches
234	Semih Güler		DF	Kayserispor	31-163	1994	16	14	1,291	14.3	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
235	Semih Güler		DF	Gaziantep FK	31-163	1994	14	7	767	8.5	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
236	Ömer Gümüş		MF	Fatih Karagümrük	22-309	2003	2	0	73	0.8	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
237	İlkay Gündoğan	de GER	MF	Galatasaray	35-200	1990	23	14	1,298	14.4	2	3	5	2	0	0	1	0	0.14	0.21	0.35	0.14	0.35	Matches
238	Umut Güneş	tr TUR	MF	Başakşehir	26-057	2000	28	25	1,999	22.2	1	0	1	1	0	0	3	0	0.05	0.00	0.05	0.05	0.05	Matches
239	Bahadır Güngördü		GK	Konyaspor	28-155	1997	22	22	1,980	22.0	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
240	Mert Günok	tr TUR	GK	Beşiktaş	37-072	1989	8	8	720	8.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
241	Mert Günok	tr TUR	GK	Fenerbahçe	37-072	1989	4	3	296	3.3	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
242	Hamza Güreler	tr TUR	DF	Başakşehir	20-032	2006	5	1	142	1.6	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
243	Serdar Gürler	tr TUR	MF,DF	Eyüpspor	34-240	1991	17	16	1,281	14.2	0	0	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
244	Gökdeniz Gürpüz	tr TUR	MF	Galatasaray	20-076	2006	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
245	Göktan Gürpüz	de GER	MF	Gençlerbirliği	23-110	2003	29	25	1,920	21.3	0	5	5	0	0	0	2	0	0.00	0.23	0.23	0.00	0.23	Matches
246	Günay Güvenç	tr TUR	GK	Galatasaray	34-321	1991	8	8	692	7.7	0	0	0	0	0	0	2	1	0.00	0.00	0.00	0.00	0.00	Matches
247	Pape Habib Guèye	sn SEN	FW	Kasımpaşa	26-234	1999	25	16	1,553	17.3	5	0	5	5	0	1	5	1	0.29	0.00	0.29	0.29	0.29	Matches
248	Florent Hadergjonaj	xk KVX	MF	Alanyaspor	31-285	1994	28	24	2,121	23.6	6	8	14	3	3	3	4	0	0.25	0.34	0.59	0.13	0.47	Matches
249	Ianis Hagi	ro ROU	MF,FW	Alanyaspor	27-202	1998	25	16	1,383	15.4	3	2	5	3	0	0	4	0	0.20	0.13	0.33	0.20	0.33	Matches
250	Massadio Haïdara	ml MLI	DF	Kocaelispor	33-161	1992	22	20	1,723	19.1	0	1	1	0	0	0	5	0	0.00	0.05	0.05	0.00	0.05	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
251	Haris Hajradinović	ba BIH	MF	Kasımpaşa	32-083	1994	7	7	552	6.1	2	0	2	1	1	1	2	0	0.33	0.00	0.33	0.16	0.16	Matches
252	Matěj Hanousek	cz CZE	DF	Gençlerbirliği	32-344	1993	21	13	1,276	14.2	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
253	Amine Harit	ma MAR	MF	Başakşehir	28-328	1997	23	19	1,496	16.6	2	3	5	2	0	0	3	0	0.12	0.18	0.30	0.12	0.30	Matches
254	Mustafa Hekimoğlu	tr TUR	FW	Beşiktaş	19-020	2007	16	2	340	3.8	1	0	1	1	0	0	2	0	0.26	0.00	0.26	0.26	0.26	Matches
255	Héliton	br BRA	DF	Göztepe	30-180	1995	31	31	2,790	31.0	0	1	1	0	0	0	10	0	0.00	0.03	0.03	0.00	0.03	Matches
256	Carlo Holse	dk DEN	MF	Samsunspor	26-344	1999	30	28	2,510	27.9	8	3	11	8	0	0	1	0	0.29	0.11	0.39	0.29	0.39	Matches
257	Majid Hosseini	ir IRN	DF	Kayserispor	29-326	1996	3	3	270	3.0	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
258	Oh Hyeon-gyu	kr KOR	FW	Beşiktaş	25-030	2001	13	12	1,084	12.0	6	1	7	6	0	0	2	0	0.50	0.08	0.58	0.50	0.58	Matches
259	Casper Højer Nielsen	dk DEN	DF	Rizespor	31-173	1994	31	31	2,612	29.0	0	1	1	0	0	0	5	0	0.00	0.03	0.03	0.00	0.03	Matches
260	Melih Ibrahimoglu	tr TUR	MF	Konyaspor	25-299	2000	29	27	2,274	25.3	1	1	2	1	0	0	2	0	0.04	0.04	0.08	0.04	0.08	Matches
261	Mücahit Ibrahimoglu	at AUT	MF	Konyaspor	21-064	2005	2	0	2	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
262	Mauro Icardi	ar ARG	FW	Galatasaray	33-082	1993	30	11	1,237	13.7	14	1	15	13	1	1	1	0	1.02	0.07	1.09	0.95	1.02	Matches
263	Hasan İlçin	tr TUR	MF	Antalyaspor	17-049	2009	4	3	169	1.9	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
264	Ahmed Ildiz	tr TUR	MF	Göztepe	29-164	1996	7	0	50	0.6	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
265	Christ Inao Oulaï	ci CIV	MF	Trabzonspor	20-036	2006	24	23	1,988	22.1	2	4	6	2	0	0	9	0	0.09	0.18	0.27	0.09	0.27	Matches
266	Tim Jabol-Folcarelli	fr FRA	MF	Trabzonspor	26-157	1999	27	27	2,327	25.9	0	3	3	0	0	0	4	0	0.00	0.12	0.12	0.00	0.12	Matches
267	Ismail Jakobs	sn SEN	DF	Galatasaray	26-268	1999	24	15	1,288	14.3	0	1	1	0	0	0	1	0	0.00	0.07	0.07	0.00	0.07	Matches
268	Janderson	br BRA	FW	Göztepe	27-006	1999	31	29	2,377	26.4	6	3	9	6	0	1	8	0	0.23	0.11	0.34	0.23	0.34	Matches
269	Nicolas Janvier	fr FRA	MF	Alanyaspor	27-274	1998	26	17	1,532	17.0	1	1	2	1	0	0	3	0	0.06	0.06	0.12	0.06	0.12	Matches
270	Jeferson Jeh	br BRA	FW	Göztepe	26-200	1999	15	4	467	5.2	2	0	2	1	1	1	3	0	0.39	0.00	0.39	0.19	0.19	Matches
271	Marko Jevtović	rs SRB	MF,DF	Konyaspor	32-292	1993	21	13	1,178	13.1	0	0	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
272	Jo Jinho	kr KOR	MF,DF	Konyaspor	22-306	2003	19	11	1,014	11.3	1	1	2	1	0	0	5	0	0.09	0.09	0.18	0.09	0.18	Matches
273	Daniel Johnson	jm JAM	MF	Fatih Karagümrük	33-216	1992	17	11	1,014	11.3	1	3	4	1	0	0	4	0	0.09	0.27	0.36	0.09	0.36	Matches
274	Aleksandar Jovanović	rs SRB	GK	Kocaelispor	33-157	1992	18	18	1,575	17.5	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
275	Gideon Jung	de GER	MF,DF	Kayserispor	31-242	1994	4	4	303	3.4	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
276	David Jurásek	cz CZE	DF	Beşiktaş	25-278	2000	10	7	638	7.1	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
277	Václav Jurečka	cz CZE	FW,MF	Rizespor	31-320	1994	12	5	467	5.2	1	0	1	1	0	0	2	0	0.19	0.00	0.19	0.19	0.19	Matches
278	Uğur Kaan Yıldız	tr TUR	DF	Göztepe	23-279	2002	8	0	64	0.7	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
279	Yusuf Kabadayı	de GER	MF,FW	Gaziantep FK	22-099	2004	17	5	612	6.8	1	0	1	1	0	0	6	0	0.15	0.00	0.15	0.15	0.15	Matches
280	Melih Kabasakal		MF,DF	Gaziantep FK	30-083	1996	23	17	1,404	15.6	1	1	2	1	0	0	8	0	0.06	0.06	0.13	0.06	0.13	Matches
281	Melih Kabasakal		MF	Eyüpspor	30-083	1996	3	1	105	1.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
282	Muhammed Kadıoğlu	tr TUR	DF	Fatih Karagümrük	19-131	2007	9	6	590	6.6	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
283	İrfan Kahveci	tr TUR	MF	Fenerbahçe	30-301	1995	8	2	285	3.2	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
284	İrfan Kahveci	tr TUR	MF	Kasımpaşa	30-301	1995	15	15	1,275	14.2	2	3	5	2	0	0	5	0	0.14	0.21	0.35	0.14	0.35	Matches
285	Barış Kalayci	tr TUR	MF	Fatih Karagümrük	20-255	2005	28	14	1,222	13.6	1	2	3	1	0	0	4	0	0.07	0.15	0.22	0.07	0.22	Matches
286	Ali Kalın		FW	Gaziantep FK	18-050	2008	2	0	36	0.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
287	Tarık Kalpaklı	tr TUR	MF	Fatih Karagümrük	17-036	2009	10	2	279	3.1	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
288	Kubilay Kanatsızkuş	tr TUR	FW	Kasımpaşa	29-045	1997	21	6	612	6.8	1	1	2	1	0	0	0	0	0.15	0.15	0.29	0.15	0.29	Matches
289	N'Golo Kanté	fr FRA	MF	Fenerbahçe	35-044	1991	13	12	1,051	11.7	2	0	2	2	0	0	3	0	0.17	0.00	0.17	0.17	0.17	Matches
290	Burak Kapacak	tr TUR	DF	Kayserispor	26-155	1999	11	0	294	3.3	0	1	1	0	0	0	1	0	0.00	0.31	0.31	0.00	0.31	Matches
291	Efecan Karaca	tr TUR	FW,MF	Alanyaspor	36-177	1989	18	5	503	5.6	0	0	0	0	0	0	3	0	0.00	0.00	0.00	0.00	0.00	Matches
292	Samet Karakoç	az AZE	MF,DF	Antalyaspor	23-202	2002	21	5	604	6.7	0	3	3	0	0	0	1	0	0.00	0.45	0.45	0.00	0.45	Matches
293	Haydar Karataş	tr TUR	MF	Fenerbahçe	19-060	2007	1	0	2	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
294	Kazımcan Karataş	tr TUR	DF	Başakşehir	23-116	2003	10	5	614	6.8	0	2	2	0	0	0	1	0	0.00	0.29	0.29	0.00	0.29	Matches
295	Kazımcan Karataş	tr TUR	DF	Galatasaray	23-116	2003	8	4	441	4.9	0	1	1	0	0	0	3	0	0.00	0.20	0.20	0.00	0.20	Matches
296	Ali Karimi	ir IRN	MF	Kayserispor	32-090	1994	2	0	41	0.5	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
297	Jadel Katongo	zm ZAM	DF	Kayserispor	21-240	2004	9	6	546	6.1	0	0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
298	İbrahim Kaya		MF,FW	Alanyaspor	25-064	2001	29	11	1,144	12.7	6	1	7	5	1	1	2	0	0.47	0.08	0.55	0.39	0.47	Matches
299	Kerem Kayaarası	tr TUR	FW	Antalyaspor	20-055	2006	1	0	2	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
300	Yalçın Kayan	tr TUR	MF	Eyüpspor	27-102	1999	16	11	876	9.7	0	2	2	0	0	0	3	0	0.00	0.21	0.21	0.00	0.21	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
301	Yalçın Kayan	tr TUR	MF	Samsunspor	27-102	1999	13	9	744	8.3	0	3	3	0	0	0	5	0	0.00	0.36	0.36	0.00	0.36	Matches
302	Jakub Kałuziński	pl POL	MF	Başakşehir	23-193	2002	9	2	322	3.6	0	1	1	0	0	0	2	0	0.00	0.28	0.28	0.00	0.28	Matches
303	Jakub Kałuziński	pl POL	MF	Antalyaspor	23-193	2002	4	2	216	2.4	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
304	Habib Keita	ml MLI	MF	Kocaelispor	24-096	2002	27	23	2,005	22.3	1	2	3	1	0	0	3	0	0.04	0.09	0.13	0.04	0.13	Matches
305	Can Keles	at AUT	FW,MF	Kocaelispor	24-252	2001	24	9	861	9.6	0	1	1	0	0	0	2	1	0.00	0.10	0.10	0.00	0.10	Matches
306	Thalisson Kelven	br BRA	DF	Gençlerbirliği	28-005	1998	29	28	2,526	28.1	2	0	2	2	0	0	7	2	0.07	0.00	0.07	0.07	0.07	Matches
