Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
43	Felipe Augusto	br BRA	MF,FW	Trabzonspor	22-081	2004	23.6	13	64	30	46.9	2.72	1.27	0.20	0.43	0	0	Matches
44	Loide Augusto	ao ANG	MF,FW	Rizespor	26-073	2000	12.5	3	33	8	24.2	2.64	0.64	0.09	0.38	0	0	Matches
45	Furkan Ayaz			Gençlerbirliği	16-221	2009	0.2	0	1	0	0.0	4.50	0.00	0.00		0	0	Matches
46	Eyüp Aydın	tr TUR	MF	Samsunspor	21-281	2004	3.6	0	5	2	40.0	1.38	0.55	0.00	0.00	0	0	Matches
47	Eyüp Aydın	tr TUR	MF	Kasımpaşa	21-281	2004	0.8	0	0	0		0.00	0.00			0	0	Matches
48	Oğuz Aydın	tr TUR	MF,DF	Fenerbahçe	25-195	2000	6.2	0	10	5	50.0	1.60	0.80	0.00	0.00	0	0	Matches
49	Taylan Aydın	tr TUR	DF	Kasımpaşa	20-089	2006	0.1	0	0	0		0.00	0.00			0	0	Matches
50	Soner Aydoğdu	tr TUR	MF	Samsunspor	35-125	1991	1.2	0	1	0	0.0	0.86	0.00	0.00		0	0	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
51	Kaan Ayhan	tr TUR	DF	Galatasaray	31-181	1994	3.4	1	5	1	20.0	1.48	0.30	0.20	1.00	0	0	Matches
52	Ousseynou Ba	sn SEN	DF	Başakşehir	30-180	1995	11.2	0	5	1	20.0	0.45	0.09	0.00	0.00	0	0	Matches
53	Mame Baba Thiam	sn SEN	FW,MF	Eyüpspor	33-213	1992	13.1	2	25	11	44.0	1.91	0.84	0.08	0.18	0	0	Matches
54	Shavy Babicka	ga GAB	MF,FW	Fatih Karagümrük	25-343	2000	9.2	1	15	4	26.7	1.63	0.43	0.07	0.25	0	0	Matches
55	Juninho Bacuna	cw CUW	MF	Gaziantep FK	28-276	1997	2.4	0	7	2	28.6	2.88	0.82	0.00	0.00	0	0	Matches
56	Bünyamin Balcı	tr TUR	DF	Antalyaspor	25-344	2000	25.1	0	8	2	25.0	0.32	0.08	0.00	0.00	0	0	Matches
57	Jure Balkovec	si SVN	DF	Fatih Karagümrük	31-243	1994	16.8	0	11	3	27.3	0.66	0.18	0.00	0.00	0	0	Matches
58	Samuel Ballet	ch SUI	MF,FW	Antalyaspor	25-059	2001	18.1	4	32	9	28.1	1.77	0.50	0.13	0.44	0	0	Matches
59	Botond Balogh	hu HUN	DF	Kocaelispor	23-338	2002	18.4	0	5	0	0.0	0.27	0.00	0.00		0	0	Matches
